context_type,left_context,occurrences,share_of_spans
unigram,xxxx,5880,4.764
unigram,#,1943,1.574
unigram,by,1791,1.451
unigram,@date@,1704,1.381
unigram,is,1281,1.038
unigram,number,1078,0.873
unigram,that,1069,0.866
unigram,$,1011,0.819
unigram,called,983,0.796
unigram,xxxx/,868,0.703
unigram,was,851,0.69
unigram,since,744,0.603
unigram,through,670,0.543
unigram,card,642,0.52
unigram,contacted,612,0.496
unigram,account,555,0.45
unigram,-,548,0.444
unigram,bank,541,0.438
unigram,over,498,0.404
unigram,as,491,0.398
unigram,or,487,0.395
unigram,/,481,0.39
unigram,sincerely,461,0.374
unigram,named,430,0.348
unigram,me,417,0.338
unigram,id,415,0.336
unigram,xxxx/xxxx/,351,0.284
unigram,have,318,0.258
unigram,around,317,0.257
unigram,name,314,0.254
unigram,about,313,0.254
unigram,chase,304,0.246
unigram,this,302,0.245
unigram,/year>,293,0.237
unigram,merchant,292,0.237
unigram,one,292,0.237
unigram,via,287,0.233
unigram,until,282,0.228
unigram,citi,267,0.216
unigram,supervisor,265,0.215
unigram,within,256,0.207
unigram,call,250,0.203
unigram,ending,248,0.201
unigram,contact,245,0.199
unigram,after,243,0.197
unigram,had,242,0.196
unigram,last,239,0.194
unigram,approximately,237,0.192
unigram,than,235,0.19
unigram,company,226,0.183
unigram,you,217,0.176
unigram,no,216,0.175
unigram,s,205,0.166
unigram,but,205,0.166
unigram,early,198,0.16
unigram,only,197,0.16
unigram,dated,194,0.157
unigram,all,189,0.153
unigram,between,189,0.153
unigram,because,184,0.149
unigram,&,184,0.149
unigram,their,182,0.147
unigram,both,180,0.146
unigram,paid,174,0.141
unigram,address,174,0.141
unigram,against,171,0.139
unigram,late,170,0.138
unigram,representative,166,0.135
unigram,express,160,0.13
unigram,am,157,0.127
unigram,case,152,0.123
unigram,date,150,0.122
unigram,now,149,0.121
unigram,today,142,0.115
unigram,under,141,0.114
unigram,new,140,0.113
unigram,received,139,0.113
unigram,time,139,0.113
unigram,be,137,0.111
unigram,charged,136,0.11
unigram,complaint,135,0.109
unigram,our,135,0.109
unigram,email,134,0.109
unigram,dispute,128,0.104
unigram,your,128,0.104
unigram,it,126,0.102
unigram,are,126,0.102
unigram,manager,125,0.101
unigram,another,124,0.1
unigram,not,124,0.1
unigram,phone,123,0.1
unigram,like,121,0.098
unigram,before,119,0.096
unigram,made,118,0.096
unigram,@,118,0.096
unigram,credit,117,0.095
unigram,these,116,0.094
unigram,receive,112,0.091
unigram,were,111,0.09
unigram,them,110,0.089
unigram,asked,109,0.088
unigram,pay,108,0.088
unigram,america,105,0.085
unigram,using,105,0.085
unigram,mr,105,0.085
unigram,charges,105,0.085
bigram,xxxx xxxx,2930,2.374
bigram,xxxx and,1985,1.608
bigram,ending in,1062,0.861
bigram,xxxx of,781,0.633
bigram,on the,758,0.614
bigram,xxxx in,653,0.529
bigram,to the,546,0.442
bigram,of the,531,0.43
bigram,xxxx to,528,0.428
