markers,narratives
0,40319
1,13507
2,16549
3,12393
4,12335
5,10087
6,10410
7,8627
8,7922
9,7395
10,6556
11,5772
12,5602
13,4709
14,4481
15,4115
16,3736
17,3313
18,3161
19,2882
20,2681
21,2469
22,2288
23,2028
24,1991
25,1726
26,1564
27,1562
28,1399
29,1281
30,1151
31,1172
32,1054
33,983
34,970
35,883
36,859
37,744
38,684
39,651
40,594
41,578
42,540
43,539
44,486
45,486
46,435
47,357
48,378
49,365
50,335
51,305
52,294
53,284
54,260
55,261
56,221
57,238
58,246
59,201
60,196
61,176
62,169
63,187
64,150
65,142
66,144
67,126
68,152
69,146
70,131
71,106
72,119
73,103
74,106
75,106
76,81
77,80
78,97
79,98
80,83
81,95
82,87
83,67
84,67
85,58
86,83
87,58
88,59
89,50
90,51
91,68
92,52
93,54
94,51
95,53
96,40
97,41
98,38
99,45
100,56
101,38
102,40
103,45
104,32
105,42
106,29
107,25
108,42
109,22
110,24
111,23
112,19
113,23
114,31
115,32
116,28
117,31
118,12
119,17
120,21
121,25
122,20
123,16
124,18
125,23
126,21
127,13
128,17
129,20
130,9
131,18
132,16
133,18
134,19
135,19
136,12
137,15
138,20
139,11
140,9
141,9
142,9
143,11
144,7
145,6
146,12
147,15
148,16
149,9
150,15
151,9
152,6
153,7
154,9
155,8
156,10
157,14
158,7
159,5
160,4
161,13
162,9
163,7
164,9
165,7
166,10
167,4
168,7
169,9
170,3
171,8
172,4
173,11
174,4
175,8
176,4
177,3
178,5
179,7
180,6
181,10
182,5
183,2
184,6
185,7
186,7
187,5
188,4
189,6
190,6
191,2
192,6
193,9
194,6
195,5
196,3
197,5
198,1
199,6
200,5
201,2
202,2
203,4
204,10
205,5
206,6
207,4
208,4
209,3
210,1
211,1
212,7
213,5
214,4
215,5
216,3
217,4
218,3
219,2
221,3
222,4
223,2
224,4
225,4
226,3
227,3
228,4
229,4
230,1
231,3
233,3
234,2
235,1
236,5
237,3
238,2
239,1
240,4
241,2
242,1
243,2
244,1
245,2
247,1
248,1
250,1
251,2
252,3
253,1
254,2
255,1
256,1
257,2
258,2
259,2
261,1
262,1
263,4
264,1
265,1
266,1
267,1
268,3
270,2
271,1
272,2
275,2
276,1
279,2
280,1
281,1
283,1
285,1
286,1
287,1
288,1
289,1
290,2
291,2
292,1
294,2
295,1
297,1
300,1
301,1
303,1
304,1
305,2
306,1
307,3
309,1
311,1
312,1
318,1
322,2
323,1
325,2
328,1
330,1
331,1
332,3
334,1
335,1
336,1
337,1
338,1
341,1
342,1
359,1
367,1
369,1
371,3
374,1
375,1
381,1
385,1
389,1
392,1
393,1
394,1
399,1
404,1
405,1
406,1
407,1
411,1
422,1
423,1
424,1
425,1
426,1
432,1
434,2
447,1
448,1
452,1
453,1
457,2
461,1
473,1
474,1
480,1
492,1
494,1
499,1
504,2
513,1
523,1
526,1
531,1
537,1
553,1
556,1
561,1
562,1
592,1
600,1
615,1
628,1
636,1
644,1
645,1
668,1
673,1
683,1
702,1
706,1
719,1
725,1
729,1
785,1
799,1
806,1
807,1
815,1
830,1
841,2
857,1
873,1
950,1
1141,1
1154,1
1213,1
1303,1
1304,1
1306,1
1348,1
1351,1
1418,1
1987,1
2311,1
2514,1
