product,subproduct,complaints,with_narrative
Credit reporting or other personal consumer reports,Credit reporting,11399338,1660441
"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,2142647,796515
Checking or savings account,Checking account,312042,153132
Debt collection,I do not know,471622,138650
Credit card,General-purpose credit card or charge card,216271,93042
Credit card or prepaid card,General-purpose credit card or charge card,158877,83540
Debt collection,Other debt,195593,83134
Debt collection,Credit card debt,176619,82146
Mortgage,Conventional home mortgage,136435,66827
"Money transfer, virtual currency, or money service",Domestic (US) money transfer,84286,62670
Vehicle loan or lease,Loan,85726,44601
Student loan,Federal student loan servicing,84138,43072
Debt collection,Medical debt,76773,38791
"Money transfer, virtual currency, or money service",Mobile or digital wallet,57545,31975
Credit reporting,(none),140426,31587
Mortgage,FHA mortgage,62868,27521
Credit card,(none),89185,18837
Debt collection,Auto debt,32014,17244
Credit card or prepaid card,Store credit card,27909,15504
Checking or savings account,Other banking product or service,36195,15278
Mortgage,Conventional fixed mortgage,70593,14557
Checking or savings account,Savings account,28919,14403
Credit card,Store credit card,26642,14029
Debt collection,Telecommunications debt,29974,13621
Student loan,Private student loan,24920,13571
Debt collection,Rental debt,28416,13515
"Money transfer, virtual currency, or money service",Virtual currency,21167,12961
Debt collection,"Other (i.e. phone, health club, etc.)",44436,12376
Mortgage,VA mortgage,23088,12114
Credit reporting or other personal consumer reports,Other personal consumer report,44026,11154
Bank account or service,Checking account,59041,10112
"Payday loan, title loan, personal loan, or advance loan",Installment loan,19700,9547
Debt collection,Payday loan debt,16261,9119
"Credit reporting, credit repair services, or other personal consumer reports",Other personal consumer report,16058,8169
Vehicle loan or lease,Lease,14211,8088
"Payday loan, title loan, or personal loan",Installment loan,13416,7674
Debt collection,Credit card,28626,7509
"Money transfer, virtual currency, or money service",International money transfer,14205,7304
Debt collection,Medical,21143,6976
Mortgage,Home equity loan or line of credit (HELOC),14272,6389
Prepaid card,General-purpose prepaid card,10225,5815
Mortgage,Other type of mortgage,17778,5800
Student loan,Non-federal student loan,22282,5753
Consumer Loan,Vehicle loan,17769,5138
Mortgage,Conventional adjustable mortgage (ARM),25380,4975
Credit card or prepaid card,General-purpose prepaid card,8530,4857
Debt collection,Mortgage debt,8489,4578
"Payday loan, title loan, or personal loan",Payday loan,6963,4200
Credit card or prepaid card,Government benefit card,9067,3661
"Payday loan, title loan, or personal loan",Personal line of credit,7367,3604
Bank account or service,Other bank product/service,17822,3476
Mortgage,Other mortgage,86612,3236
"Payday loan, title loan, personal loan, or advance loan",Personal line of credit,6334,3210
"Payday loan, title loan, personal loan, or advance loan",Payday loan,5523,3126
Debt collection,Private student loan debt,6050,3112
Consumer Loan,Installment loan,8671,3083
Debt collection,Federal student loan debt,5979,3030
Debt or credit management,Debt settlement,5132,2898
Checking or savings account,CD (Certificate of Deposit),7777,2858
"Credit reporting, credit repair services, or other personal consumer reports",Credit repair services,5064,2814
Prepaid card,Government benefit card,4946,2343
Debt or credit management,Credit repair services,4086,2183
Mortgage,Home equity loan or line of credit,11622,2102
Debt collection,Payday loan,7493,2053
Payday loan,(none),5528,1745
"Payday loan, title loan, or personal loan",Title loan,2758,1695
Mortgage,Reverse mortgage,5347,1536
"Money transfer, virtual currency, or money service",Check cashing service,2207,1396
"Payday loan, title loan, personal loan, or advance loan",Title loan,2352,1379
Prepaid card,Gift card,2417,1366
"Money transfer, virtual currency, or money service","Money order, traveler's check or cashier's check",2415,1284
Debt collection,Auto,3748,1064
Consumer Loan,Vehicle lease,2654,960
Debt collection,Mortgage,4807,907
Bank account or service,Savings account,5294,887
Money transfers,Domestic (US) money transfer,2584,861
"Money transfer, virtual currency, or money service",Foreign currency exchange,1347,843
Prepaid card,Payroll card,1362,738
Prepaid card,General purpose card,1752,730
Debt collection,Non-federal student loan,2878,684
Money transfers,International money transfer,2770,636
Credit card or prepaid card,Gift card,1021,618
Debt collection,Federal student loan,2473,549
"Money transfer, virtual currency, or money service",Traveler's check or cashier's check,983,545
Credit card or prepaid card,Payroll card,917,483
"Money transfer, virtual currency, or money service",Debt settlement,946,426
Mortgage,Manufactured home loan,777,424
"Money transfer, virtual currency, or money service",Refund anticipation check,627,400
Mortgage,USDA mortgage,723,385
"Money transfer, virtual currency, or money service",Money order,776,377
"Payday loan, title loan, personal loan, or advance loan",Other advances of future income,679,334
Bank account or service,(CD) Certificate of deposit,3416,274
Debt or credit management,Mortgage modification or foreclosure avoidance,374,226
"Payday loan, title loan, personal loan, or advance loan",Earned wage access,348,213
Consumer Loan,Title loan,547,199
Prepaid card,Gift or merchant card,402,154
Bank account or service,Cashing a check without an account,625,134
Other financial service,Debt settlement,331,109
Prepaid card,ID prepaid card,207,101
Prepaid card,Mobile wallet,418,85
Prepaid card,Government benefit payment card,389,80
Debt or credit management,Student loan debt relief,147,77
"Payday loan, title loan, personal loan, or advance loan",Pawn loan,118,73
Prepaid card,Other special purpose card,191,58
Other financial service,Check cashing,266,54
"Payday loan, title loan, or personal loan",Pawn loan,76,45
Consumer Loan,Personal line of credit,1824,44
Other financial service,Credit repair,102,39
Other financial service,Money order,143,35
"Payday loan, title loan, personal loan, or advance loan",Tax refund anticipation loan or check,60,35
Checking or savings account,(none),99,35
Consumer Loan,Pawn loan,94,34
Vehicle loan or lease,Title loan,46,29
Other financial service,Traveler’s/Cashier’s checks,88,22
Credit card or prepaid card,Student prepaid card,32,20
Prepaid card,Transit card,37,19
Other financial service,Refund anticipation check,68,17
Other financial service,Foreign currency exchange,58,16
Virtual currency,Domestic (US) money transfer,17,15
Prepaid card,Student prepaid card,24,9
Prepaid card,Electronic Benefit Transfer / EBT card,12,3
Virtual currency,International money transfer,1,1
"Payday loan, title loan, or personal loan",(none),34,1
"Credit reporting, credit repair services, or other personal consumer reports",Conventional home mortgage,1,1
Mortgage,Second mortgage,662,0
Checking or savings account,Credit reporting,1,0
Credit card or prepaid card,(none),3,0
