method,category,markers_found,markers_total,recall_pct,predictions_made,seconds
regex,ALL,0,119261,0.0,1434,4.0
regex,UNKNOWN,0,72010,0.0,,
regex,DATE,0,27918,0.0,,
regex,ORG_OR_PERSON,0,9986,0.0,,
regex,AMOUNT_OR_COUNT,0,3816,0.0,,
regex,NOT_PII_ESTIMATED,0,2425,0.0,,
regex,ACCOUNT_ID,0,1652,0.0,,
regex,PERSON,0,690,0.0,,
regex,CASE_REF,0,610,0.0,,
regex,CONTACT,0,134,0.0,,
regex,LOCATION,0,20,0.0,,
spacy,ALL,82861,119261,69.48,173603,467.2
spacy,UNKNOWN,45044,72010,62.55,,
spacy,DATE,24656,27918,88.32,,
spacy,ORG_OR_PERSON,8506,9986,85.18,,
spacy,AMOUNT_OR_COUNT,1646,3816,43.13,,
spacy,NOT_PII_ESTIMATED,1107,2425,45.65,,
spacy,ACCOUNT_ID,1020,1652,61.74,,
spacy,PERSON,641,690,92.9,,
spacy,CASE_REF,138,610,22.62,,
spacy,CONTACT,87,134,64.93,,
spacy,LOCATION,16,20,80.0,,
presidio,ALL,73487,119261,61.62,113163,674.4
presidio,UNKNOWN,40568,72010,56.34,,
presidio,DATE,21137,27918,75.71,,
presidio,ORG_OR_PERSON,7927,9986,79.38,,
presidio,AMOUNT_OR_COUNT,1441,3816,37.76,,
presidio,NOT_PII_ESTIMATED,622,2425,25.65,,
presidio,ACCOUNT_ID,928,1652,56.17,,
presidio,PERSON,634,690,91.88,,
presidio,CASE_REF,129,610,21.15,,
presidio,CONTACT,87,134,64.93,,
presidio,LOCATION,14,20,70.0,,
