category,tier,spans,share_of_all_spans_pct,share_of_resolved_pii_pct
UNKNOWN,,63796,53.49,
DATE,3,36792,30.85,70.43
ACCOUNT_ID,1,3665,3.07,7.02
NOT_PII,,3224,2.7,
ORG_THIRD_PARTY,2,3210,2.69,6.14
PERSON,1,2375,1.99,4.55
TEMPORAL,3,1984,1.66,3.8
AMOUNT,3,1320,1.11,2.53
CASE_REF,1,1019,0.85,1.95
CONTACT,1,575,0.48,1.1
LOCATION_FINE,2,557,0.47,1.07
PROTECTED_ATTR,2,326,0.27,0.62
MERCHANT,3,228,0.19,0.44
RELATIONSHIP,2,76,0.06,0.15
GOV_ID,1,36,0.03,0.07
LIFE_EVENT,2,33,0.03,0.06
EMPLOYER,2,28,0.02,0.05
HEALTH,2,17,0.01,0.03
