true_category,n,correct,accuracy_pct,unknown_pct,top_confusion
ACCOUNT_ID,5640,2850,50.53,49.47,-
ORG_THIRD_PARTY,4984,0,0.0,100.0,-
PERSON,3876,0,0.0,49.38,DATE
AMOUNT,2447,0,0.0,100.0,-
DATE,2421,2421,100.0,0.0,-
CASE_REF,2404,1178,49.0,51.0,-
TEMPORAL,2352,0,0.0,51.19,DATE
CONTACT,1703,0,0.0,49.74,TEMPORAL
LOCATION_FINE,1673,834,49.85,50.15,-
MERCHANT,1499,0,0.0,48.9,DATE
PROTECTED_ATTR,1442,712,49.38,50.62,-
RELATIONSHIP,1078,0,0.0,100.0,-
LIFE_EVENT,1077,0,0.0,100.0,-
GOV_ID,1051,0,0.0,100.0,-
HEALTH,1037,0,0.0,100.0,-
EMPLOYER,1022,519,50.78,0.0,TEMPORAL
