method,seed,category,recall_pct,precision_pct,f1_pct,category_accuracy_pct,tp,fp,fn,ms_per_narrative
encoder micro 22M,20260806,ALL,76.4,97.18,85.55,97.57,8055,234,2488,4.9
encoder micro 22M,20260807,ALL,76.44,97.92,85.86,97.94,8059,171,2484,4.3
encoder micro 22M,20260808,ALL,75.08,97.85,84.97,98.18,7916,174,2627,4.2
encoder base 184M,20260806,ALL,64.38,96.96,77.38,99.35,6788,213,3755,7.2
encoder base 184M,20260807,ALL,71.55,99.15,83.12,99.36,7544,65,2999,7.1
encoder base 184M,20260808,ALL,68.0,95.74,79.52,98.97,7169,319,3374,7.0
encoder large 434M,20260806,ALL,65.2,97.06,78.0,99.35,6874,208,3669,17.6
encoder large 434M,20260807,ALL,69.62,95.78,80.63,99.35,7340,323,3203,17.8
encoder large 434M,20260808,ALL,69.9,97.99,81.6,99.46,7370,151,3173,17.8
writer Qwen3 0.6B,20260806,ALL,50.91,99.52,67.36,99.65,5367,26,5176,3589.7
