dataset,method,category,tier,recall_pct,precision_pct,f1_pct,category_accuracy_pct,tp,fp,fn,ms_per_narrative
stratified,encoder,ALL,,90.13,96.77,93.34,99.97,15328,511,1678,192.4
stratified,encoder,ACCOUNT_ID,1,97.87,,,,1012,,22,
stratified,encoder,AMOUNT,3,98.8,,,,986,,12,
stratified,encoder,CASE_REF,1,99.12,,,,1018,,9,
stratified,encoder,CONTACT,1,98.89,,,,976,,11,
stratified,encoder,DATE,3,98.62,,,,1000,,14,
stratified,encoder,EMPLOYER,2,98.23,,,,943,,17,
stratified,encoder,GOV_ID,1,99.39,,,,971,,6,
stratified,encoder,HEALTH,2,99.2,,,,995,,8,
stratified,encoder,LIFE_EVENT,2,98.03,,,,996,,20,
stratified,encoder,LOCATION_FINE,2,68.91,,,,676,,305,
stratified,encoder,MERCHANT,3,99.1,,,,993,,9,
stratified,encoder,ORG_THIRD_PARTY,2,43.98,,,,413,,526,
stratified,encoder,PERSON,1,98.74,,,,939,,12,
stratified,encoder,PROTECTED_ATTR,2,98.37,,,,1027,,17,
stratified,encoder,RELATIONSHIP,2,52.69,,,,538,,483,
stratified,encoder,TEMPORAL,3,89.91,,,,1845,,207,
stratified,presidio,ALL,,46.17,47.74,46.94,,7852,8597,9154,29.9
stratified,presidio,ACCOUNT_ID,1,70.21,,,,726,,308,
stratified,presidio,AMOUNT,3,0.0,,,,0,,998,
stratified,presidio,CASE_REF,1,100.0,,,,1027,,0,
stratified,presidio,CONTACT,1,100.0,,,,987,,0,
stratified,presidio,DATE,3,100.0,,,,1014,,0,
stratified,presidio,EMPLOYER,2,0.0,,,,0,,960,
stratified,presidio,GOV_ID,1,100.0,,,,977,,0,
stratified,presidio,HEALTH,2,11.17,,,,112,,891,
stratified,presidio,LIFE_EVENT,2,0.0,,,,0,,1016,
stratified,presidio,LOCATION_FINE,2,91.13,,,,894,,87,
stratified,presidio,MERCHANT,3,12.77,,,,128,,874,
stratified,presidio,ORG_THIRD_PARTY,2,0.0,,,,0,,939,
stratified,presidio,PERSON,1,98.95,,,,941,,10,
stratified,presidio,PROTECTED_ATTR,2,17.91,,,,187,,857,
stratified,presidio,RELATIONSHIP,2,0.0,,,,0,,1021,
stratified,presidio,TEMPORAL,3,41.86,,,,859,,1193,
stratified,spacy,ALL,,54.9,35.64,43.22,,9337,16864,7669,24.0
stratified,spacy,ACCOUNT_ID,1,56.19,,,,581,,453,
stratified,spacy,AMOUNT,3,100.0,,,,998,,0,
stratified,spacy,CASE_REF,1,58.91,,,,605,,422,
stratified,spacy,CONTACT,1,54.1,,,,534,,453,
stratified,spacy,DATE,3,54.34,,,,551,,463,
stratified,spacy,EMPLOYER,2,100.0,,,,960,,0,
stratified,spacy,GOV_ID,1,1.54,,,,15,,962,
stratified,spacy,HEALTH,2,11.17,,,,112,,891,
stratified,spacy,LIFE_EVENT,2,14.07,,,,143,,873,
stratified,spacy,LOCATION_FINE,2,100.0,,,,981,,0,
stratified,spacy,MERCHANT,3,100.0,,,,1002,,0,
stratified,spacy,ORG_THIRD_PARTY,2,91.37,,,,858,,81,
stratified,spacy,PERSON,1,100.0,,,,951,,0,
stratified,spacy,PROTECTED_ATTR,2,17.91,,,,187,,857,
stratified,spacy,RELATIONSHIP,2,0.0,,,,0,,1021,
stratified,spacy,TEMPORAL,3,41.86,,,,859,,1193,
stratified,regex,ALL,,17.42,57.27,26.71,,2962,2210,14044,0.1
stratified,regex,ACCOUNT_ID,1,0.0,,,,0,,1034,
stratified,regex,AMOUNT,3,100.0,,,,998,,0,
stratified,regex,CASE_REF,1,0.0,,,,0,,1027,
stratified,regex,CONTACT,1,100.0,,,,987,,0,
stratified,regex,DATE,3,0.0,,,,0,,1014,
stratified,regex,EMPLOYER,2,0.0,,,,0,,960,
stratified,regex,GOV_ID,1,100.0,,,,977,,0,
stratified,regex,HEALTH,2,0.0,,,,0,,1003,
stratified,regex,LIFE_EVENT,2,0.0,,,,0,,1016,
stratified,regex,LOCATION_FINE,2,0.0,,,,0,,981,
stratified,regex,MERCHANT,3,0.0,,,,0,,1002,
stratified,regex,ORG_THIRD_PARTY,2,0.0,,,,0,,939,
stratified,regex,PERSON,1,0.0,,,,0,,951,
stratified,regex,PROTECTED_ATTR,2,0.0,,,,0,,1044,
stratified,regex,RELATIONSHIP,2,0.0,,,,0,,1021,
stratified,regex,TEMPORAL,3,0.0,,,,0,,2052,
natural,encoder,ALL,,94.96,99.27,97.07,99.99,15867,117,842,189.2
natural,encoder,ACCOUNT_ID,1,98.64,,,,1084,,15,
natural,encoder,AMOUNT,3,97.94,,,,381,,8,
natural,encoder,CASE_REF,1,99.03,,,,306,,3,
