method,category,recall_pct,precision_pct,f1_pct,category_accuracy_pct,tp,fp,fn
encoder,ALL,59.66,94.56,73.16,99.62,6290,362,4253
encoder,ACCOUNT_ID,28.01,,,,200,,514
encoder,AMOUNT,58.54,,,,144,,102
encoder,CASE_REF,85.23,,,,150,,26
encoder,CONTACT,78.69,,,,96,,26
encoder,DATE,69.95,,,,5321,,2286
encoder,EMPLOYER,66.67,,,,6,,3
encoder,GOV_ID,100.0,,,,2,,0
encoder,HEALTH,33.33,,,,1,,2
encoder,LIFE_EVENT,0.0,,,,0,,9
encoder,LOCATION_FINE,56.32,,,,49,,38
encoder,MERCHANT,88.64,,,,39,,5
encoder,ORG_THIRD_PARTY,0.77,,,,5,,642
encoder,PERSON,50.82,,,,216,,209
encoder,PROTECTED_ATTR,53.57,,,,30,,26
encoder,RELATIONSHIP,6.25,,,,1,,15
encoder,TEMPORAL,7.89,,,,30,,350
presidio,ALL,77.44,52.69,62.71,,8165,7331,2378
presidio,ACCOUNT_ID,21.57,,,,154,,560
presidio,AMOUNT,1.22,,,,3,,243
presidio,CASE_REF,99.43,,,,175,,1
presidio,CONTACT,92.62,,,,113,,9
presidio,DATE,89.84,,,,6834,,773
presidio,EMPLOYER,0.0,,,,0,,9
presidio,GOV_ID,100.0,,,,2,,0
presidio,HEALTH,100.0,,,,3,,0
presidio,LIFE_EVENT,0.0,,,,0,,9
presidio,LOCATION_FINE,85.06,,,,74,,13
presidio,MERCHANT,20.45,,,,9,,35
presidio,ORG_THIRD_PARTY,0.46,,,,3,,644
presidio,PERSON,97.41,,,,414,,11
presidio,PROTECTED_ATTR,21.43,,,,12,,44
presidio,RELATIONSHIP,0.0,,,,0,,16
presidio,TEMPORAL,97.11,,,,369,,11
spacy,ALL,43.51,17.56,25.02,,4587,21537,5956
spacy,ACCOUNT_ID,25.49,,,,182,,532
spacy,AMOUNT,82.93,,,,204,,42
spacy,CASE_REF,32.95,,,,58,,118
spacy,CONTACT,7.38,,,,9,,113
spacy,DATE,35.69,,,,2715,,4892
spacy,EMPLOYER,100.0,,,,9,,0
spacy,GOV_ID,0.0,,,,0,,2
spacy,HEALTH,100.0,,,,3,,0
spacy,LIFE_EVENT,33.33,,,,3,,6
spacy,LOCATION_FINE,87.36,,,,76,,11
spacy,MERCHANT,100.0,,,,44,,0
spacy,ORG_THIRD_PARTY,75.43,,,,488,,159
spacy,PERSON,97.41,,,,414,,11
spacy,PROTECTED_ATTR,21.43,,,,12,,44
spacy,RELATIONSHIP,0.0,,,,0,,16
spacy,TEMPORAL,97.37,,,,370,,10
regex,ALL,3.51,7.41,4.76,,370,4625,10173
regex,ACCOUNT_ID,0.0,,,,0,,714
regex,AMOUNT,100.0,,,,246,,0
regex,CASE_REF,0.0,,,,0,,176
regex,CONTACT,100.0,,,,122,,0
regex,DATE,0.0,,,,0,,7607
regex,EMPLOYER,0.0,,,,0,,9
regex,GOV_ID,100.0,,,,2,,0
regex,HEALTH,0.0,,,,0,,3
regex,LIFE_EVENT,0.0,,,,0,,9
regex,LOCATION_FINE,0.0,,,,0,,87
regex,MERCHANT,0.0,,,,0,,44
regex,ORG_THIRD_PARTY,0.0,,,,0,,647
regex,PERSON,0.0,,,,0,,425
regex,PROTECTED_ATTR,0.0,,,,0,,56
regex,RELATIONSHIP,0.0,,,,0,,16
regex,TEMPORAL,0.0,,,,0,,380
