method,fields,amount_tol,date_tol_days,U_unique_pct,K_smallset_pct,R_rank1_pct,attacker_fp_pct,narratives_attacked
raw,amount,0.0,0,18.73,20.57,18.73,2.35,4000
raw,amount,0.0,1,18.73,20.57,18.73,2.35,4000
raw,amount,0.0,3,18.73,20.57,18.73,2.35,4000
raw,amount,0.0,7,18.73,20.57,18.73,2.35,4000
raw,amount,1.0,3,18.85,20.35,18.98,1.32,4000
raw,amount,5.0,3,18.85,20.55,19.15,1.25,4000
raw,amount,25.0,7,18.73,20.55,19.1,1.05,4000
raw,amount+date,0.0,0,18.73,20.57,18.73,5.75,4000
raw,amount+date,0.0,1,18.73,20.57,18.73,5.8,4000
raw,amount+date,0.0,3,18.73,20.57,18.73,5.97,4000
raw,amount+date,0.0,7,18.73,20.57,18.73,6.1,4000
raw,amount+date,1.0,3,18.82,20.4,18.9,1.8,4000
raw,amount+date,5.0,3,18.8,20.55,19.02,1.5,4000
raw,amount+date,25.0,7,18.77,20.45,19.0,1.4,4000
raw,amount+date+merchant,0.0,0,18.73,20.57,18.77,6.33,4000
raw,amount+date+merchant,0.0,1,18.73,20.57,18.77,6.4,4000
raw,amount+date+merchant,0.0,3,18.73,20.57,18.77,6.55,4000
raw,amount+date+merchant,0.0,7,18.73,20.57,18.77,6.7,4000
raw,amount+date+merchant,1.0,3,18.82,20.42,18.95,1.9,4000
raw,amount+date+merchant,5.0,3,18.8,20.57,19.05,1.57,4000
raw,amount+date+merchant,25.0,7,18.8,20.42,19.05,1.47,4000
raw,amount+date+merchant+city,0.0,0,19.1,20.6,19.15,7.85,4000
raw,amount+date+merchant+city,0.0,1,19.1,20.6,19.15,7.95,4000
raw,amount+date+merchant+city,0.0,3,19.1,20.6,19.15,7.98,4000
raw,amount+date+merchant+city,0.0,7,19.1,20.6,19.15,8.1,4000
raw,amount+date+merchant+city,1.0,3,19.1,20.45,19.23,2.83,4000
raw,amount+date+merchant+city,5.0,3,19.1,20.57,19.32,2.17,4000
raw,amount+date+merchant+city,25.0,7,19.12,20.42,19.45,1.75,4000
presidio,amount,0.0,0,0.18,0.18,0.18,1.85,4000
presidio,amount,0.0,1,0.18,0.18,0.18,1.85,4000
presidio,amount,0.0,3,0.18,0.18,0.18,1.85,4000
presidio,amount,0.0,7,0.18,0.18,0.18,1.85,4000
presidio,amount,1.0,3,0.18,0.18,0.18,0.3,4000
presidio,amount,5.0,3,0.18,0.18,0.18,0.4,4000
presidio,amount,25.0,7,0.18,0.18,0.18,0.2,4000
presidio,amount+date,0.0,0,0.18,0.18,0.18,1.85,4000
presidio,amount+date,0.0,1,0.18,0.18,0.18,1.85,4000
presidio,amount+date,0.0,3,0.18,0.18,0.18,1.85,4000
presidio,amount+date,0.0,7,0.18,0.18,0.18,1.85,4000
presidio,amount+date,1.0,3,0.18,0.18,0.18,0.3,4000
presidio,amount+date,5.0,3,0.18,0.18,0.18,0.4,4000
presidio,amount+date,25.0,7,0.18,0.18,0.18,0.2,4000
presidio,amount+date+merchant,0.0,0,0.18,0.18,0.18,2.77,4000
presidio,amount+date+merchant,0.0,1,0.18,0.18,0.18,2.77,4000
presidio,amount+date+merchant,0.0,3,0.18,0.18,0.18,2.77,4000
presidio,amount+date+merchant,0.0,7,0.18,0.18,0.18,2.77,4000
presidio,amount+date+merchant,1.0,3,0.18,0.18,0.18,0.38,4000
presidio,amount+date+merchant,5.0,3,0.18,0.18,0.18,0.38,4000
presidio,amount+date+merchant,25.0,7,0.18,0.18,0.18,0.2,4000
presidio,amount+date+merchant+city,0.0,0,0.18,0.18,0.18,3.1,4000
presidio,amount+date+merchant+city,0.0,1,0.18,0.18,0.18,3.1,4000
presidio,amount+date+merchant+city,0.0,3,0.18,0.18,0.18,3.1,4000
presidio,amount+date+merchant+city,0.0,7,0.18,0.18,0.18,3.1,4000
presidio,amount+date+merchant+city,1.0,3,0.18,0.18,0.18,0.55,4000
presidio,amount+date+merchant+city,5.0,3,0.18,0.18,0.18,0.4,4000
presidio,amount+date+merchant+city,25.0,7,0.18,0.18,0.18,0.22,4000
