method,question,asked,graded,correct,unknown,accuracy_pct,baseline_pct,over_baseline_pct
raw,sub_product,233,207,148,25,71.5,85.99,-14.49
raw,issue,233,233,52,0,22.32,12.02,10.3
raw,relief,233,233,123,76,52.79,88.41,-35.62
presidio,sub_product,233,207,149,28,71.98,85.99,-14.01
presidio,issue,233,233,48,0,20.6,12.02,8.58
presidio,relief,233,233,102,100,43.78,88.41,-44.64
airlock:micro,sub_product,233,207,152,25,73.43,85.99,-12.56
airlock:micro,issue,233,233,50,0,21.46,12.02,9.44
airlock:micro,relief,233,233,116,87,49.79,88.41,-38.63
airlock:base2,sub_product,233,207,152,25,73.43,85.99,-12.56
airlock:base2,issue,233,233,48,0,20.6,12.02,8.58
airlock:base2,relief,233,233,114,89,48.93,88.41,-39.48
spacy,sub_product,233,207,110,69,53.14,85.99,-32.85
spacy,issue,233,233,51,0,21.89,12.02,9.87
spacy,relief,233,233,101,103,43.35,88.41,-45.06
