arm,seed,set,recall_pct,precision_pct,f1_pct,seconds
micro,20260806,seen_templates_hard2,94.91,97.35,96.12,15.4
micro,20260806,stratified_hard2,92.33,96.38,94.31,14.5
micro,20260806,natural_v2_hard2,93.14,96.96,95.01,15.5
micro,20260806,__surrogate__,76.4,97.18,85.55,11.4
micro,20260807,seen_templates_hard2,95.26,98.19,96.7,14.6
micro,20260807,stratified_hard2,92.09,97.24,94.6,14.8
micro,20260807,natural_v2_hard2,92.74,97.62,95.12,16.3
micro,20260807,__surrogate__,76.44,97.92,85.86,11.2
micro,20260808,seen_templates_hard2,95.55,98.4,96.95,14.0
micro,20260808,stratified_hard2,92.98,97.67,95.27,14.0
micro,20260808,natural_v2_hard2,93.42,97.84,95.58,15.3
micro,20260808,__surrogate__,75.08,97.85,84.97,10.7
base2,20260806,seen_templates_hard2,97.02,99.17,98.09,24.1
base2,20260806,stratified_hard2,84.86,98.82,91.31,23.9
base2,20260806,natural_v2_hard2,91.93,99.03,95.35,26.4
base2,20260806,__surrogate__,64.38,96.96,77.38,17.9
base2,20260807,seen_templates_hard2,96.89,99.4,98.13,24.3
base2,20260807,stratified_hard2,87.19,98.7,92.59,24.3
base2,20260807,natural_v2_hard2,91.3,99.0,94.99,27.2
base2,20260807,__surrogate__,71.55,99.15,83.12,18.2
base2,20260808,seen_templates_hard2,97.0,99.48,98.23,24.5
base2,20260808,stratified_hard2,86.09,98.77,92.0,24.1
base2,20260808,natural_v2_hard2,91.25,99.22,95.07,26.6
base2,20260808,__surrogate__,68.0,95.74,79.52,18.3
large,20260806,seen_templates_hard2,97.03,99.71,98.35,60.2
large,20260806,stratified_hard2,83.61,97.15,89.87,60.3
large,20260806,natural_v2_hard2,91.45,99.01,95.08,65.3
large,20260806,__surrogate__,65.2,97.06,78.0,45.3
large,20260807,seen_templates_hard2,96.99,99.5,98.23,60.5
large,20260807,stratified_hard2,87.76,98.46,92.8,60.1
large,20260807,natural_v2_hard2,91.18,98.73,94.8,65.3
large,20260807,__surrogate__,69.62,95.78,80.63,44.4
large,20260808,seen_templates_hard2,96.66,99.72,98.17,60.4
large,20260808,stratified_hard2,85.97,98.53,91.82,59.6
large,20260808,natural_v2_hard2,91.57,99.13,95.2,65.1
large,20260808,__surrogate__,69.9,97.99,81.6,44.5
